District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
Shahjahanpur,Total,100,59.2,11.2,38.3
Shahjahanpur,Urban,100,49.7,8.2,85.9
Kheri,Rural,100,64,11.1,18.3
Kheri,Total,100,61.9,10.9,24.8
Kheri,Urban,100,45.8,8.9,76.2
Sitapur,Rural,100,61.9,12.1,11.9
Sitapur,Total,100,59.9,11.8,18.3
Sitapur,Urban,100,42.4,8.5,72
Hardoi,Rural,100,62.3,8.3,17.4
Hardoi,Total,100,60.3,8.1,24.5
Hardoi,Urban,100,46.4,6.6,74
Unnao,Rural,100,59,7.3,15.8
Unnao,Total,100,56.6,6.9,24.9
Unnao,Urban,100,44.2,5.1,71.7
Lucknow,Rural,100,57.2,8.3,21.5
Lucknow,Total,100,39.8,5.5,65.6
Lucknow,Urban,100,31.1,4.1,87.7
Rae Bareli,Rural,100,55.4,7.8,13.4
Rae Bareli,Total,100,53.6,7.6,18.3
Rae Bareli,Urban,100,34.1,5.2,71.1
Farrukhabad,Rural,100,59.6,8.6,23.9
Farrukhabad,Total,100,56.5,7.8,36.8
Farrukhabad,Urban,100,45.7,4.7,81.7
Kannauj,Rural,100,58.3,8.8,21.7
Kannauj,Total,100,55.8,8.3,30.6
Kannauj,Urban,100,43.3,5.9,75.6
Etawah,Rural,100,54.7,7.8,19.8
Etawah,Total,100,51.5,7,33.9
Etawah,Urban,100,40.5,4.2,83.4
Auraiya,Rural,100,55.2,9,20.4
Auraiya,Total,100,52.5,8.2,29.3
Auraiya,Urban,100,38.6,4,75.2
Kanpur Dehat,Rural,100,56.8,8.4,23
Kanpur Dehat,Total,100,55.2,8.1,27
Kanpur Dehat,Urban,100,39.5,5.9,66.3
Kanpur Nagar,Rural,100,58.8,6.9,23.6
Kanpur Nagar,Total,100,45.8,5.6,63.3
Kanpur Nagar,Urban,100,38.7,4.8,85.2
Jalaun,Rural,100,57.3,2.9,28.3
Jalaun,Total,100,53.4,3.1,39.9
Jalaun,Urban,100,41.1,3.5,75.6
Jhansi,Rural,100,47.4,2,20.7
Jhansi,Total,100,41.6,1.9,41.1
Jhansi,Urban,100,32.9,1.9,71.6
Lalitpur,Rural,100,52.8,2.7,12
Lalitpur,Total,100,50.4,2.7,19.4
Lalitpur,Urban,100,36.2,2.6,62.9
Hamirpur,Rural,100,50.5,1.5,25
Hamirpur,Total,100,48.1,1.5,32.8
Hamirpur,Urban,100,37.1,1.6,68.7
Mahoba,Rural,100,50.7,1.7,17.8
Mahoba,Total,100,50.2,1.7,25.5
Mahoba,Urban,100,48.7,1.6,54.7
Banda,Rural,100,52.9,1.1,20
Banda,Total,100,50.2,1.2,28.1
Banda,Urban,100,35.2,1.7,73.5
Chitrakoot,Rural,100,52.5,1.8,11.8
Chitrakoot,Total,100,51.9,1.9,16.5
Chitrakoot,Urban,100,46.7,2.7,58.7
Fatehpur,Rural,100,57.4,5.7,18.3
Fatehpur,Total,100,55.4,5.5,24.7
Fatehpur,Urban,100,40.9,4.3,72.1
Pratapgarh,Rural,100,44.7,6.3,11.3
Pratapgarh,Total,100,44,6.1,14
Pratapgarh,Urban,100,31.7,3,64.1
Kaushambi,Rural,100,55.2,4.4,13.8
Kaushambi,Total,100,54.2,4.4,16.7
Kaushambi,Urban,100,42.9,4.4,51.4
Allahabad,Rural,100,48.8,4.6,15.6
Allahabad,Total,100,44.7,4.2,31
Allahabad,Urban,100,30.5,2.9,84
Bara Banki,Rural,100,50.9,11.9,13.2
Bara Banki,Total,100,49.8,11.6,18.3
Bara Banki,Urban,100,39.5,8.8,67.8
Faizabad,Rural,100,51.4,9.3,14.5
Faizabad,Total,100,49.3,8.7,22.7
