District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
Malappuram,Total,100,24.8,3.4,97.4
Malappuram,Urban,100,21.3,2.5,98.5
Palakkad,Rural,100,35.4,5.4,88.2
Palakkad,Total,100,33.6,4.9,89.8
Palakkad,Urban,100,28.1,3.3,94.9
Thrissur,Rural,100,35.2,5.1,96.9
Thrissur,Total,100,30.7,4.4,97.8
Thrissur,Urban,100,28.5,4.1,98.3
Ernakulam,Rural,100,29.6,5,96.9
Ernakulam,Total,100,24.6,3.7,97.9
Ernakulam,Urban,100,22.3,3.1,98.3
Idukki,Rural,100,44.1,8.3,88.7
Idukki,Total,100,43.2,8,89.1
Idukki,Urban,100,23.5,1.4,99.3
Kottayam,Rural,100,35,4.6,96
Kottayam,Total,100,32.5,4.1,96.6
Kottayam,Urban,100,26.5,2.6,98.2
Alappuzha,Rural,100,29.9,7.7,90.9
Alappuzha,Total,100,28.2,7,92.9
Alappuzha,Urban,100,26.7,6.5,94.7
Pathanamthitta,Rural,100,30.2,4.9,93.7
Pathanamthitta,Total,100,29.5,4.7,93.9
Pathanamthitta,Urban,100,23.7,2.8,96
Kollam,Rural,100,29.9,7.5,93
Kollam,Total,100,27.5,6.6,94.5
Kollam,Urban,100,24.4,5.5,96.4
Thiruvananthapuram,Rural,100,34.2,10.2,91.9
Thiruvananthapuram,Total,100,29.8,8,94.2
Thiruvananthapuram,Urban,100,25.9,6.1,96.3
Thiruvallur,Rural,100,32.4,3.3,28.3
Thiruvallur,Total,100,23.1,1.8,67.9
Thiruvallur,Urban,100,18.1,1,88.8
Chennai,Total,100,17.4,0.9,95.6
Chennai,Urban,100,17.4,0.9,95.6
Kancheepuram,Rural,100,31.7,2.3,29.3
Kancheepuram,Total,100,22.6,1.3,65.5
Kancheepuram,Urban,100,17.6,0.8,85.6
Vellore,Rural,100,27.8,2.3,19.2
Vellore,Total,100,24.9,2,41.1
Vellore,Urban,100,21,1.5,71.2
Tiruvannamalai,Rural,100,29,2.3,12.5
Tiruvannamalai,Total,100,27,2.1,22.8
Tiruvannamalai,Urban,100,18.7,1.3,65.1
Viluppuram,Rural,100,36,2,13.2
Viluppuram,Total,100,34.2,1.9,21.1
Viluppuram,Urban,100,23.8,1.5,65.6
Salem,Rural,100,32.2,2.3,14.6
Salem,Total,100,28.3,1.8,35
Salem,Urban,100,24.4,1.3,54.9
Namakkal,Rural,100,25.4,1.8,31.2
Namakkal,Total,100,24.9,1.6,40.7
Namakkal,Urban,100,24.3,1.2,54.6
Erode,Rural,100,28.6,2,33.7
Erode,Total,100,26.2,1.5,49
Erode,Urban,100,23.8,1.1,63.8
The Nilgiris,Rural,100,34.6,2.1,42.3
The Nilgiris,Total,100,35.6,2,51.9
The Nilgiris,Urban,100,36.4,1.9,58.9
Dindigul,Rural,100,31.5,1.8,18.9
Dindigul,Total,100,29.4,1.6,33.3
Dindigul,Urban,100,25.9,1.4,57.4
Karur,Rural,100,29,2.2,23
Karur,Total,100,25.3,1.6,41.2
Karur,Urban,100,20.1,0.9,67.1
Tiruchirappalli,Rural,100,29.8,2.4,24
Tiruchirappalli,Total,100,25.7,1.8,48.5
Tiruchirappalli,Urban,100,21.4,1.2,74.2
Perambalur,Rural,100,30.2,2.2,15.6
Perambalur,Total,100,28,2,22.2
Perambalur,Urban,100,16.9,0.9,55.2
Ariyalur,Rural,100,37.9,3.4,14.2
Ariyalur,Total,100,36.8,3.2,18.1
Ariyalur,Urban,100,27.7,2,51.3
Cuddalore,Rural,100,38.9,2.4,19.9
Cuddalore,Total,100,34.8,2.1,36.1
Cuddalore,Urban,100,26.4,1.5,68.6
Nagapattinam,Rural,100,44.7,3.2,31.2
Nagapattinam,Total,100,41.7,3,39.5
Nagapattinam,Urban,100,31,2.4,69.7
Thiruvarur,Rural,100,44.8,4.1,31.5
Thiruvarur,Total,100,41.4,3.7,39.7
Thiruvarur,Urban,100,27.9,1.7,72.8
Thanjavur,Rural,100,43.1,4.5,28.8
Thanjavur,Total,100,38,3.6,45.1
Thanjavur,Urban,100,28.7,2,74.8
Pudukkottai,Rural,100,39.5,4.2,17.7
Pudukkottai,Total,100,36.6,3.7,28
Pudukkottai,Urban,100,25.1,1.6,69.3
Sivaganga,Rural,100,31.7,3,23.9
Sivaganga,Total,100,28.8,2.5,40.7
Sivaganga,Urban,100,22,1.4,78.5
Madurai,Rural,100,32.1,2.1,20.7
Madurai,Total,100,23.2,1.3,59.2
Madurai,Urban,100,17.3,0.8,84.8
Theni,Rural,100,35.2,2.1,24.8
Theni,Total,100,32.4,1.6,39.3
Theni,Urban,100,29.9,1.3,52
Virudhunagar,Rural,100,27,1.7,14.6
Virudhunagar,Total,100,23.1,1.3,30.9
Virudhunagar,Urban,100,19.3,0.9,46.9
Ramanathapuram,Rural,100,34.4,3,22.5
Ramanathapuram,Total,100,31.6,2.6,36.6
Ramanathapuram,Urban,100,25.1,1.6,70.6
Thoothukkudi,Rural,100,33.5,2,28.2
Thoothukkudi,Total,100,28.5,1.6,50
Thoothukkudi,Urban,100,23.2,1.3,73.1
Tirunelveli,Rural,100,30.3,1.6,33.2
Tirunelveli,Total,100,27.8,1.4,47.6
Tirunelveli,Urban,100,25.1,1.1,62.9
Kanniyakumari,Rural,100,35.6,2.7,83.1
Kanniyakumari,Total,100,33.4,2.9,87.5
Kanniyakumari,Urban,100,33,3,88.4
Dharmapuri,Rural,100,33.1,2.5,10.7
Dharmapuri,Total,100,31.4,2.3,19
Dharmapuri,Urban,100,23,1.6,59
Krishnagiri,Rural,100,32.7,2.2,19.2
Krishnagiri,Total,100,29.4,1.8,33
Krishnagiri,Urban,100,18.3,0.6,78.3
Coimbatore,Rural,100,27.4,1.6,33.3
Coimbatore,Total,100,24.9,1,66.7
Coimbatore,Urban,100,24.1,0.8,77.9
Tiruppur,Rural,100,27.6,1.7,30.9
Tiruppur,Total,100,25.3,1.1,57.2
Tiruppur,Urban,100,23.6,0.7,75
Yanam,Total,100,15.4,0.7,81.9
Yanam,Urban,100,15.4,0.7,81.9
Puducherry,Rural,100,31.9,2.6,35.8
Puducherry,Total,100,22.8,1.6,68.5
Puducherry,Urban,100,19,1.2,82.5
Mahe,Total,100,15.8,1.1,97.8
Mahe,Urban,100,15.8,1.1,97.8
Karaikal,Rural,100,36.8,2.1,47.6
Karaikal,Total,100,29.2,1.6,60.6
Karaikal,Urban,100,21,1.2,74.4
Nicobars,Rural,100,23.8,1.2,80.9
Nicobars,Total,100,23.8,1.2,80.9
North  & Middle Andaman,Rural,100,44.3,2.7,48
North  & Middle Andaman,Total,100,44.6,2.8,48.3
North  & Middle Andaman,Urban,100,55.9,6.6,56.1
South Andaman,Rural,100,33.5,3.5,64.7
South Andaman,Total,100,26.4,2.2,78.3
South Andaman,Urban,100,21.4,1.2,87.8
