"District_Name","RuralandUrban","households","Livable","Dilapidated","Latrine_premise","household_rural","houshold_urban","rural_livable","rural_dilapidated","rural_premise","urban_livable","urban_dilapidated","urban_premise"
"Sirmaur","Total",100,29.4,2.6,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sirmaur","Urban",100,19.7,1.0,96.1,0.0,116.8,0.0,0.0,0.0,19.7,1.0,96.1
"Shimla","Rural",100,3962421434.998,18722.23,486777.98,3962926935.208,0.0,3962421434.998,18722.23,486777.98,0.0,0.0,0.0
"Shimla","Total",100,4525641873.083,16280.2,555968.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shimla","Urban",100,6009893380.507,10582.130000000001,738307.0700000001,0.0,6010642269.707,0.0,0.0,0.0,6009893380.507,10582.130000000001,738307.0700000001
"Kinnaur","Rural",100,48968291.075720005,841.21,58211.732,49027344.01772001,0.0,48968291.075720005,841.21,58211.732,0.0,0.0,0.0
"Kinnaur","Total",100,48968291.075720005,841.21,58211.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gurdaspur","Rural",100,26464265947.76829,206849.06999999998,1151459.823,26465624256.661293,0.0,26464265947.76829,206849.06999999998,1151459.823,0.0,0.0,0.0
"Gurdaspur","Total",100,31693731673.974,181567.517,1378993.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gurdaspur","Urban",100,45216390521.53624,119512.79600000002,1967364.488,0.0,45218477398.82024,0.0,0.0,0.0,45216390521.53624,119512.79600000002,1967364.488
"Kapurthala","Rural",100,5143221240.05376,49725.248,630940.032,5143901905.333759,0.0,5143221240.05376,49725.248,630940.032,0.0,0.0,0.0
"Kapurthala","Total",100,5535275572.30592,44019.07200000001,679034.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kapurthala","Urban",100,6252934349.98784,33421.888,767073.088,0.0,6253734844.96384,0.0,0.0,0.0,6252934349.98784,33421.888,767073.088
"Jalandhar","Rural",100,36569961869.56,136002.58,1667128.4,36571765000.54,0.0,36569961869.56,136002.58,1667128.4,0.0,0.0,0.0
"Jalandhar","Total",100,41622390812.065,120647.45,1897455.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jalandhar","Urban",100,46097399303.998,105292.32,2101459.2199999997,0.0,46099606055.538,0.0,0.0,0.0,46097399303.998,105292.32,2101459.2199999997
"Hoshiarpur","Rural",100,14349059676.562498,103130.625,904376.2499999999,14350067183.437498,0.0,14349059676.562498,103130.625,904376.2499999999,0.0,0.0,0.0
"Hoshiarpur","Total",100,16086051111.09375,96784.125,1013853.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hoshiarpur","Urban",100,22379498337.65625,77744.625,1410509.625,0.0,22380986591.90625,0.0,0.0,0.0,22379498337.65625,77744.625,1410509.625
"Shahid Bhagat Singh Nagar","Rural",100,40.1,5.4,66.8,112.30000000000001,0.0,40.1,5.4,66.8,0.0,0.0,0.0
"Shahid Bhagat Singh Nagar","Total",100,39.2,5.6,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shahid Bhagat Singh Nagar","Urban",100,36.0,6.5,85.1,0.0,127.6,0.0,0.0,0.0,36.0,6.5,85.1
