"Unnamed: 0","State_UT","District","Population","Male","Female","Literate","Literate_Male","Literate_Female","Rural_Households","Urban_Households","Households","Young_and_Adult","Middle_Aged","Senior_Citizen","Age_Not_Stated"
318,"ASSAM","Bongaigaon","738804","375818",362986,"434078",237114,196964,181923,"38470",220393,458796,184849,"94939",220
319,"ASSAM","Chirang","482162","244860",237302,"259902",145869,114033,129018,"11613",140631,301518,122244,"58282",118
321,"ASSAM","Kamrup Metropolitan","1253938","647585",606353,"1001191",537227,463964,61334,"366858",428192,659453,401500,"190908",2077
322,"ASSAM","Nalbari","771639","396006",375633,"531771",293184,238587,210706,"28238",238944,442061,211320,"117809",449
323,"ASSAM","Baksa","950075","481330",468745,"572837",322614,250223,291641,"3580",295221,563089,256282,"130083",621
324,"ASSAM","Darrang","928500","475273",453227,"487039",268666,218373,268517,"20189",288706,583436,226525,"118102",437
326,"WEST BENGAL","Darjiling","1846823","937259",909564,"1315585",717673,597912,303284,"215675",518959,1031221,523288,"289979",2335
327,"WEST BENGAL","Jalpaiguri","3872846","1983064",1889782,"2498780",1396622,1102158,798378,"319426",1117804,2259507,1035449,"575667",2223
331,"WEST BENGAL","Maldah","3988845","2051541",1937304,"2086432",1152019,934413,830318,"128678",958996,2511004,955283,"520122",2436
332,"WEST BENGAL","Murshidabad","7103807","3627564",3476243,"4055834",2177187,1878647,1501066,"350899",1851965,4390564,1717594,"991413",4236
333,"WEST BENGAL","Birbhum","3502404","1790920",1711484,"2158447",1201481,956966,831044,"134565",965609,2008655,952059,"539463",2227
334,"WEST BENGAL","Barddhaman","7717563","3966889",3750674,"5247208",2918040,2329168,1364868,"862368",2227236,4149420,2265543,"1292913",9687
335,"WEST BENGAL","Nadia","5167600","2653768",2513832,"3480555",1878866,1601689,1081381,"468390",1549771,2745828,1484986,"934417",2369
337,"WEST BENGAL","Hugli","5519145","2814653",2704492,"4078388",2211777,1866611,992085,"647953",1640038,2766489,1688206,"1060821",3629
338,"WEST BENGAL","Bankura","3596674","1838095",1758579,"2232992",1299337,933655,900515,"90885",991400,1942335,1014764,"637834",1741
