,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
924,B00DJ5N9VK,Faber-Castell Connec,Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,150,150,0,4.3,15867
925,B0B4DT8MKT,Wecool Unbreakable 3,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,348,1499,77,4.2,656
926,B08FGNPQ9X,"Zinq UPS for Router,",Computers&Accessories|NetworkingDevices|Routers,1199,2999,60,4.1,10725
927,B07NTKGW45,SaleOn™ Portable Sto,Computers&Accessories|Accessories&Peripherals|HardDiskBags,397,899,56,4.0,3025
928,B08CDKQ8T6,Portronics Konnect L,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154,349,56,4.3,7064
929,B08J4PL1Z3,RPM Euro Games Lapto,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,699,1490,53,4.0,5736
930,B07XJWTYM2,realme Buds Wireless,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1679,1999,16,4.1,72563
931,B09939XJX8,TVARA LCD Writing Ta,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",354,1500,76,4.0,1026
932,B09MDCZJXS,Wings Phantom Pro Ea,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,1199,5499,78,3.8,2043
933,B08CTQP51L,Robustrion [Anti-Scr,Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,379,1499,75,4.2,4149
934,B0BG62HMDJ,Cablet 2.5 Inch SATA,Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,499,775,36,4.3,74
935,B08GTYFC37,SanDisk 1TB Extreme ,Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives,10389,32000,68,4.4,41398
936,B08SBH499M,ZEBRONICS Zeb-Warrio,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,649,1300,50,4.1,5195
937,B08FYB5HHK,TP-Link UE300C USB T,Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters,1199,1999,40,4.5,22420
938,B0994GFWBH,Lapster 1.5 mtr USB ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,139,999,86,4.0,1313
939,B0B5GJRTHB,Wecool Moonwalk M1 E,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",889,1999,56,4.2,2284
940,B09GBBJV72,HP 330 Wireless Blac,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",1409,2199,36,3.9,427
941,B07P434WJY,RC PRINT GI 790 Ink ,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",549,1999,73,4.3,1367
942,B07T9FV9YP,Redgear Cloak Wired ,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,749,1799,58,4.0,13199
943,B01GGKZ0V6,AmazonBasics USB Typ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329,845,61,4.2,29746
944,B08WKFSN84,Wayona Type C To Typ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,379,1099,66,4.3,2806
945,B09TBCVJS3,Amazfit GTS2 Mini (N,Electronics|WearableTechnology|SmartWatches,5998,7999,25,4.2,30355
946,B08TR61BVK,Tabelito® Polyester ,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,299,1499,80,4.2,2868
947,B0B2CPVXHX,Robustrion Anti-Scra,Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,379,1499,75,4.1,670
948,B08XNL93PL,Portronics Ruffpad 1,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",1399,2999,53,4.3,3530
949,B088GXTJM3,DIGITEK® (DLS-9FT) L,Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,699,1299,46,4.3,6183
950,B099S26HWG,Classmate Pulse 1 Su,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",300,300,0,4.2,419
951,B08461VC1Z,"Scarters Mouse Pad, ","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",999,1995,50,4.5,7317
952,B00K32PEW4,Casio MJ-120D 150 St,OfficeProducts|OfficeElectronics|Calculators|Financial&Business,535,535,0,4.4,4426
953,B09F9YQQ7B,Redmi 80 cm (32 inch,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13999,24999,44,4.2,45237
954,B07LFWP97N,Gizga Essentials Lap,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,269,1099,76,4.1,1092
955,B0746N6WML,Parker Vector Camouf,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",341,450,24,4.3,2493
956,B07W9KYT62,TP-Link AC1200 Arche,Computers&Accessories|NetworkingDevices|Routers,2499,3999,38,4.4,12679
957,B0B5ZF3NRK,CEDO 65W OnePlus Das,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349,599,42,4.1,210
